id,type,room,room_name,object,dutch,en
msg:35,message,any,,fles melk (zonder statiegeld),Gloe..gloe..gloe..burpp...,Glug..glug..glug..burpp...
msg:36,message,any,,"fles gevuld met blauw,giftig water","Het blauwkleurige water is zeer giftig. Na enkele
seconden stokt je adem, dan kronkel je over de grond van
kramp. Je sterft na enkele minuten..","The blue-coloured water is highly poisonous. After a few
seconds your breath catches, then you writhe on the ground with
cramp. You die after a few minutes.."
msg:37,message,any,,fles water,Er zit een vreemd smaakje aan.,It has a strange aftertaste.
msg:38,message,any,,sneetje brood,"Mmmm, heerlijk. Ik was vrij hongerig van al dit
praten.","Mmmm, delicious. I was rather hungry from all this
talking."
msg:39,message,0,Eigen huis,,"Er zit een gat in het plafond, maar je kunt het niet bereiken.
Het gat is groot genoeg om er doorheen te klimmen.","There is a hole in the ceiling, but you can't reach it.
The hole is big enough to climb through."
msg:40,message,0,Eigen huis,,Via een ladder kan je naar boven klimmen.,By way of a ladder you could climb up.
msg:41,message,20,Kasteel (ingang),,De zware deur van het kasteel  is open.,The heavy door of the castle is open.
msg:42,message,21,Kasteelhal,,De zware deur naar buiten  is open.,The heavy door to the outside is open.
msg:43,message,20,Kasteel (ingang),,"De zware, met spinneweb bedekte, deur is gesloten.","The heavy, cobweb-covered door is shut."
msg:44,message,21,Kasteelhal,,De zware deur naar buiten is gesloten.,The heavy door to the outside is shut.
msg:45,message,7-11,Donker woud / Dorpsstraat,,In de verte hoor je een vogel fluiten.,In the distance you hear a bird whistling.
msg:46,message,11,Dorpsstraat,,Ver in het bos kan je een bron zien.,Far off in the forest you can see a well.
msg:47,message,12,Herberg,,Je ziet de smalle zoldertrap achter een kast.,You see the narrow attic stairs behind a cupboard.
msg:48,message,20,Kasteel (ingang),,Plotseling beweegt de deur en slaat met een klap dicht.,Suddenly the door moves and slams shut with a bang.
msg:49,message,any,,,"Dracula staat voor je en blokkeert alle uitgangen.
Hij kijkt je angstaanjagend aan. Als hij lacht zie
je een paar scherpe hoektanden die zijn bedoelingen
duidelijk maken.","Dracula stands before you and blocks every exit.
He stares at you terrifyingly. When he smiles you
see a pair of sharp fangs that make his intentions
quite clear."
msg:50,message,32,Gewelf,,"Het hek is open, je kan de trap af.","The gate is open, you can go down the stairs."
msg:51,message,32,Gewelf,,Het ijzeren hek is gesloten.,The iron gate is shut.
msg:52,message,37,Graftombe,,Voor de trap zit een ijzeren hek,In front of the stairs is an iron gate
msg:53,message,37,Graftombe,,Het ijzeren hek is gesloten.,The iron gate is shut.
msg:54,message,23,Kasteelslaapkamer,,"terwijl de deur, waardoor je eruit kan, geopend is.",while the door through which you can get out is open.
msg:55,message,23,Kasteelslaapkamer,,"terwijl achterop een gesloten deur een tekst te
lezen is.","while on a closed door at the back a text can be
read."
msg:56,message,any,,,Niemand geeft antwoord.,Nobody answers.
msg:57,message,12,Herberg,,"Hij zegt 'Ben je doof of zo' en gaat door met zijn
werk.","He says 'Are you deaf or something' and goes on with his
work."
msg:58,message,12,Herberg,,"Hij sist 'Wegwezen, voordat ik echt boos ga worden'.
Je ziet hem iets pakken.","He hisses 'Clear off, before I really lose my temper'.
You see him grab something."
msg:59,message,12,Herberg,,"Hij zegt ' Er is een zoldertrap achter die kast daar,'
en als je goed kijkt kan je de trap ook zien.","He says ' There's an attic staircase behind that cupboard there,'
and if you look closely you can see the stairs too."
msg:60,message,12,Herberg,,"Die zie je niet, maar misschien kijk je niet goed. De waard zou
trouwens ook wel eens meer kunnen weten, denk je niet?","You don't see it, but perhaps you're not looking properly. The innkeeper
might well know more, too, don't you think?"
msg:61,message,12,Herberg,,"De waard zegt 'Daar komt helemaal niets van in, mannetje'
en komt op je af.","The innkeeper says 'Nothing doing, little man'
and comes at you."
msg:62,message,18,Boomhut,,Iaaaaaaahhhh...,Iaaaaaaahhhh...
msg:63,message,any,,,hop.....hop....hop..,hop.....hop....hop..
msg:64,message,12,Herberg,,Hij kijkt je kwaad aan.,He glares at you angrily.
msg:65,message,39,Gegraven gat,,De steen wil niet verder draaien.,The stone won't turn any further.
msg:66,message,39,Gegraven gat,,"Een van de stenen van de wand draait weg en je
ziet een grafkist achter de steen. Je kunt kruipen door het
gat dat nu is ontstaan.","One of the stones in the wall turns away and you
see a coffin behind the stone. You can crawl through the
hole that has now appeared."
msg:67,message,any,,,Er gebeurt helemaal niets.,Nothing at all happens.
msg:68,message,any,,,Het raam is al open.,The window is already open.
msg:69,message,1,Slaapkamer,,Ik zie geen 'luik'.,I don't see a 'hatch'.
msg:70,message,1,Slaapkamer,,Het luik is al open.,The hatch is already open.
msg:71,message,1,Slaapkamer,,"Het luik kraakt en met veel moeite krijg je het
zover open dat je er net door kan.","The hatch creaks and with great effort you get it
open far enough to just squeeze through."
msg:72,message,"32, 37",Gewelf / Graftombe,,Het hek is al open.,The gate is already open.
msg:73,message,32,Gewelf,,Het hek lijkt muurvast te zitten.,The gate seems to be stuck fast.
msg:74,message,"32, 37",Gewelf / Graftombe,,Het hek gaat met de minste kracht open.,The gate opens at the slightest push.
msg:75,message,14,Zolder (herberg),,De kist is open!,The chest is open!
msg:76,message,29,Kasteeltoren,zware gesloten kist,Je ziet een houten luik onderin.,You see a wooden hatch at the bottom.
msg:77,message,any,,,Ik zie geen luik.,I don't see a hatch.
msg:78,message,29,Kasteeltoren,,Het luik gaat open.,The hatch opens.
msg:79,message,29,Kasteeltoren,,Het luik zit muurvast.,The hatch is stuck fast.
msg:80,message,any,,kleine houten doos,De doos is al open.,The box is already open.
msg:81,message,any,,kleine houten doos / houten hamer,Er valt een hamer uit.,A hammer falls out.
msg:82,message,any,,,Ik zie niet goed hoe ik dat zou moeten openen.,I don't quite see how I'd open that.
msg:83,message,any,,,Ik denk niet dat dat nodig is.,I don't think that's necessary.
msg:84,message,any,,,Je hebt het niet eens bij je.,You aren't even carrying it.
msg:85,message,any,,,Waaraan ?,To what ?
msg:86,message,25,Balkon,stuk dik touw,Het touw zit stevig vast aan het balkon.,The rope is firmly tied to the balcony.
msg:87,message,21-38,various,,Pakke wat je pakke kan.,Grab what ye can grab.
msg:88,message,any,,,Heb je geen slaap na deze opwindende avonturen?,Aren't you sleepy after these thrilling adventures?
msg:89,message,any,,,Geen paniek..geen paniek..,Don't panic..don't panic..
msg:90,message,any,,,Dat moet je dan wel bij je hebben.,"You do have to be carrying that, then."
msg:91,message,any,,dik gehavend boek,"      -------  V A M P I E R   H A N D B O E C K -------

Vampieren sijn al sedert menschenheugenisse ende tiden die
parasieten der menschen. Si hebben elcken daghe
versch bloed nodigh en hebben so al vele liden
vermoert ende omgebracht. In die loop der tiden
sijn enighe eighenschappen des vampier bekent geworden. So
is de vampier seer angstigh voor het almagtig cruice, het beste
van hout gemaackt. Sij kunnen het dageligt nauelijcks sien
ende verdhragen. Cnoflooc schijnt een vampier
alsmede ooc af te schricken. Ooit hevet eenen ondersoecer
waar na later tiden nie ofte nimmer meer iet van es
gehoort, geprobeert die vampier in sijnen dagheslaap eenen
houten pen door den harte te slaan. Die lieden seghen dit soude
connen doden die vampier geheel ende al. Later sijn in deser wijse
die meesten vampieren gedodet, maar het stercste geslagte des
vampiers dracula hevet dit cunnen overlev...

   -- de tekst wordt verder onleesbaar --","      -------  V A M P Y R E   H A N D B O O K E -------

Vampyres have beene, sithence the memorie of manne and tymes of olde,
the parasytes of mankinde. They have neede everie daye
of freshe bloode, and have thus alreadie manie folke
slayne and done to deathe. In the course of tymes
certeyne propertyes of the vampyre are becomme knowne. Thus
is the vampyre sore afeard of the almightie crosse, the whiche is best
fashioned of woode. They can scarce abyde nor endure
the light of daye. Garlicke doth likewyse seeme to
affright a vampyre. Once did a certeyne seeker,
whereof in later tymes never no more was
herde, essaye to smyte the vampyre in his daye-slumber with a
woodden pinne through the herte. The folke doe saye this myghte
slaye the vampyre wholie and entyrelie. Later were in this wyse
the moste of vampyres slayne, but the strongeste kindred of the
vampyres, dracula, hath beene able to survyv...

   -- the text groweth further illegible --"
msg:92,message,any,,,Ik zie geen tekst.,I don't see any text.
msg:93,message,dead,(onbereikbaar — nooit getoond in het spel),,"Er valt hier eigenlijk niet zoveel op te
lezen.",There's really not much to read here.
msg:94,message,23,Kasteelslaapkamer,,"
   ULVU  ++  *NR*
   CEKW  ++  *D**

    ++  TBTA  ++
    ++  LOAO  ++

   A*OD  ++  *ORA
   *OEN  ++  RWNA
","
   ULVU  ++  *NR*
   CEKW  ++  *D**

    ++  TBTA  ++
    ++  LOAO  ++

   A*OD  ++  *ORA
   *OEN  ++  RWNA
"
msg:95,message,any,,,Hoe wou je dat vullen ?,How did you mean to fill that ?
msg:96,message,any,,,Waarmee ?,With what ?
msg:97,message,16,Heuvel,fles melk (zonder statiegeld),Er zit al melk in.,There's already milk in it.
msg:98,message,16,Heuvel,fles water,De fles zit nog vol met water.,The bottle is still full of water.
msg:99,message,16,Heuvel,lege fles,Je hebt geen fles bij je.,You aren't carrying a bottle.
msg:100,message,16,Heuvel,lege fles,De fles vult zich langzaam..,The bottle slowly fills..
msg:101,message,any,,gesneden tak,Ik zie geen tak hier.,I don't see a branch here.
msg:102,message,any,,gesneden tak,Met de tak valt niks te beginnen.,There's nothing to be done with the branch.
msg:103,message,any,,stuk hout,Ik zie geen hout.,I don't see any wood.
msg:104,message,any,,stuk hout / houten kruis,"Na enig snijwerk krijgt het stuk hout de vorm
van een kruis.","After some carving the piece of wood takes the shape
of a cross."
msg:105,message,any,,stuk hout,Je hebt daar een stuk hout voor nodig.,You need a piece of wood for that.
msg:106,message,any,,,Er dwarrelen wat snippertjes af.,A few shavings flutter off.
msg:107,message,any,,,Dat heeft geen zin.,That's pointless.
msg:108,message,any,,houten wig,De wig is erg scherp....,The wedge is very sharp....
msg:109,message,any,,dik gehavend boek,"Het is een oud, zwaar, dik, gehavend boek met lederen
omslag. Sommige pagina's zijn eruit gescheurd en andere geheel
verbleekt.","It is an old, heavy, thick, battered book with a leather
cover. Some pages have been torn out and others are entirely
faded."
msg:110,message,any,,zwaar kapmes,Je kan met het kapmes hout snijden en bewerken.,With the machete you can cut and work wood.
msg:111,message,any,,groot ijzeren harnas,Je zou er precies inpassen.,You would fit inside it exactly.
msg:112,message,any,,stuk dik touw,Het touw is stevig genoeg om er een olifant mee op te tillen.,The rope is strong enough to hoist an elephant with.
msg:113,message,any,,"schatkist, vol met gouden munten","De kist zit vol met zeer oude, toendertijd waardevolle munten.","The chest is full of very old coins, valuable in their day."
msg:114,message,any,,zwaar eikenhouten bed,Welk bed had je in gedachten ?,Which bed did you have in mind ?
msg:115,message,1,Slaapkamer,zwaar eikenhouten bed,"Het bed is zwaar en niet zomaar te tillen of
te verplaatsen. Voor de rest is er zo op het eerste
gezicht niets bijzonders mee...","The bed is heavy and not so easily lifted or
moved. For the rest there is, at first
glance, nothing special about it..."
msg:116,message,1,Slaapkamer,zwaar eikenhouten bed,"Onder het bed is een klein houten luik te zien. Een
ijzeren ring is aan het luik vastgenageld zodat je
'm zo open zou moeten kunnen maken.","Under the bed a small wooden hatch can be seen. An
iron ring is nailed to the hatch so you
should be able to open it easily."
msg:117,message,1,Slaapkamer,,"Het luik kan simpel opengemaakt worden door aan
de ijzeren ring, die aan het luik vastgeklonken zit
te trekken.","The hatch can be opened simply by pulling on
the iron ring that is riveted to the hatch."
msg:118,message,29,Kasteeltoren,,"Het luik is zeer stevig en is waarschijnlijk
niet kapot te krijgen.","The hatch is very sturdy and probably
can't be broken."
msg:119,message,51,Nauwe nis,,"Je kan zien wat er in de kasteeltoren gebeurt, je ziet
een houten kist staan. Door een klein raampje komt licht
naar binnen. Even later zie je een man met een zwarte mantel
de trap op komen. Hij kijkt even gevaarlijk jouw richting op.
Dan lacht hij en opent de kist. Even later stapt hij
in de kist en het deksel valt dicht.","You can see what is happening in the castle tower, you see
a wooden chest standing. Light comes in through a small
window. A moment later you see a man in a black cloak
coming up the stairs. He glances dangerously in your direction.
Then he laughs and opens the chest. A moment later he steps
into the chest and the lid falls shut."
msg:120,message,52,Ventilatieruimte,,"Je kunt van hieruit zien wat er in de eetkamer gebeurt. Er staat
een grote tafel. Er is een klein bochelig kereltje, dat in de eetkamer
met een kandelaar rondloopt. Als hij de kamer uitgaat wordt het daar
pikdonker en je ziet niets meer...","From here you can see what is happening in the dining room. There is
a large table. There is a small hunched little fellow walking about the
dining room with a candlestick. When he leaves the room it goes
pitch dark there and you see nothing more..."
msg:121,message,any,,,Zover ik het kan beoordelen is er niets bijzonders mee.,As far as I can tell there's nothing special about it.
msg:122,message,any,,,Ik zie er niets bijzonders aan.,I see nothing special about it.
msg:123,message,any,,,"Je kunt hier moeilijk in slaap komen doordat de
grond erg hard is.","It's hard to fall asleep here because the
ground is very hard."
msg:124,message,1,Slaapkamer,,Je wordt 's morgens vroeg weer fit wakker.,"You wake early in the morning, fit again."
msg:125,message,1,Slaapkamer,,"Je wordt midden in de nacht wakker door gerommel,
dat vanonder het bed lijkt te komen. Als je uit het bed
stapt verdwijnt het gebonk als bij toverslag.","You wake in the middle of the night from a rumbling
that seems to come from under the bed. When you step out
of the bed the thumping vanishes as if by magic."
msg:126,message,11,Dorpsstraat,,Je raakt helemaal de weg kwijt...,You lose your way completely...
msg:127,message,1,Slaapkamer,,Welk luik bedoel je ?,Which hatch do you mean ?
msg:128,message,any,,streng knoflook,Ik zie geen knoflook.,I don't see any garlic.
msg:129,message,12,Herberg,streng knoflook,"De waard zegt ' Wat moet dat daar ? ' Hij komt
op je af en slaat het knoflook uit je handen. Hij pakt
het op en legt het terug waar het lag. De mensen in de
herberg kijken je verstoord aan.","The innkeeper says ' What's that doing there ? ' He comes
at you and knocks the garlic out of your hands. He picks
it up and puts it back where it lay. The people in the
inn look at you with annoyance."
msg:130,message,12,Herberg,,"Dan stroopt de waard een mouw op en slaat je midden in
je gezicht. Het bloed stroomt uit je neus. De sfeer
wordt zeer gespannen.","Then the innkeeper rolls up a sleeve and hits you square in
your face. Blood streams from your nose. The mood
turns very tense."
msg:131,message,any,,streng knoflook,Ik zie geen knoflook.,I don't see any garlic.
msg:132,message,any,,,Je kan het gewoon pakken hoor..,"You can just pick it up, you know.."
msg:133,message,12,Herberg,,"De waard gromt en lijkt wat rustiger te worden. Verschillende
mensen draaien zich weer met de rug naar je toe.","The innkeeper growls and seems to grow a little calmer. Several
people turn their backs to you again."
msg:134,message,12,Herberg,streng knoflook,"De waard zegt 'Je mag het knoflook wel hebben hoor,
we hebben er genoeg van.' Hij geeft de streng aan jou.","The innkeeper says 'You can have the garlic, you know,
we've got plenty of it.' He hands the string to you."
msg:135,message,any,,,... absolute stilte ...,... absolute silence ...
msg:136,message,13,Herberg (tafel),,"Twee mannen zitten te praten :

 '..... Nou, gisteren was het weer eens goed raak,he ??

 'Zeg dat wel, twee in een keer. En er is niets dat we
  eraan kunnen doen.. oh, eh, goeiedag vreemdeling..'

 Je weet natuurlijk niet waarover het gaat en zegt niets terug.
 De twee vervolgen hun gesprek:

 'Weet je, er moet hier op de zolder van deze herberg ook wat
  voorgevallen zijn '

 'Ja, dat hoorde ik, de waard is er niet erg over te spreken. Hij
  spreekt eigenlijk sindsdien helemaal niet meer zo...'","Two men sit talking :

 '..... Well, yesterday was another good haul, eh ??

 'You can say that again, two at once. And there's nothing we
  can do about it.. oh, eh, good day stranger..'

 Of course you have no idea what it's about and say nothing back.
 The two carry on with their conversation:

 'You know, something must have happened up in the attic of this
  inn as well '

 'Yes, I heard about that, the innkeeper isn't keen to talk about it. He
  hasn't really spoken the same since...'"
msg:137,message,13,Herberg (tafel),,"De twee mannen zitten nog te praten:

 '... He! Dat is toch degene die hier vorige keer ook
  zat te luisteren ?'

 'Volgens mij wel.' Hij draait zich naar je toe en zegt:

 'Zoek jij moeilijkheden ??","The two men are still talking:

 '... Hey! Isn't that the one who was sitting here listening
  last time too ?'

 'I think so.' He turns toward you and says:

 'Are you looking for trouble ??"
msg:138,message,13,Herberg (tafel),,"Iedereen die aan de tafel zit gaat staan en
loopt naar een andere tafel. Je zit nu alleen aan de tafel.","Everyone sitting at the table gets up and
walks to another table. You are now sitting alone at the table."
msg:139,message,25-26,Balkon / Smalle rand,stuk dik touw,Welk touw ?,Which rope ?
msg:140,message,12,Herberg,,"De waard wordt zeer kwaad en slaat je direkt op je kaak, en
je deinst terug. Dan storm je op hem af en trapt hem op het
moment dat hij een mes wil gooien. Het mes suist langs je oren
en schampt je schouder. De waard, die ineengekrompen was komt
weer langzaam overeind, pakt zijn mes terug en wacht..","The innkeeper grows very angry and hits you straight on the jaw, and
you reel back. Then you charge at him and kick him just as
he's about to throw a knife. The knife whizzes past your ears
and grazes your shoulder. The innkeeper, who had doubled over, slowly
straightens up again, takes back his knife and waits.."
msg:141,message,12,Herberg,,"De waard slaat naar achter tegen een tafel als je hem in z'n maag slaat. Hij
komt echter direkt terug, grijpt je bij je kraag en gooit
je de lucht in. Als je neerkomt sla je met je kaak op de toon-
bank. Half bewusteloos zie je de waard op je afkomen.","The innkeeper is knocked back against a table when you hit him in the stomach. He
comes right back, however, grabs you by the collar and throws
you into the air. When you come down you strike your jaw on the
counter. Half unconscious you see the innkeeper coming at you."
msg:142,message,12,Herberg,,"De waard pakt een mes en steekt dat met enorme kracht in je
hand. Je valt neer en als je kreunend van de pijn probeert op
te staan trapt de waard je tegen de grond, trekt het mes uit je
hand en snijdt je strot door. Je probeert nog iets te zeggen, maar
je raakt na enkele seconden buiten westen.","The innkeeper grabs a knife and drives it with enormous force into your
hand. You fall down and as you try, groaning with pain, to get
up the innkeeper kicks you to the ground, pulls the knife out of your
hand and slits your throat. You try to say something, but
after a few seconds you pass out."
msg:143,message,12,Herberg,,"De waard loopt even weg en komt terug met een zware houten
balk. Een van de mannen in de herberg staat op en pakt je vast.
De waard haalt uit en als hij je in het gezicht wil slaan schiet je
naar onderen. De balk raakt de kerel die je vasthield met een doffe
slag in z'n nek. Bloedend rent hij de herberg uit terwijl de waard
opnieuw uithaalt. De balk komt met grote kracht op je knie terecht
als je probeert de slag te ontwijken. Snel sta je op en
je geeft de waard een dusdanige slag in z'n gezicht dat hij
langzaam achteruit wankelt. Hij herstelt echter snel..","The innkeeper walks off for a moment and comes back with a heavy wooden
beam. One of the men in the inn stands up and grabs hold of you.
The innkeeper swings and as he tries to hit you in the face you duck
down. The beam strikes the fellow holding you with a dull
blow to the neck. Bleeding, he runs out of the inn while the innkeeper
swings again. The beam lands with great force on your knee
as you try to dodge the blow. You quickly get up and
give the innkeeper such a blow to the face that he
slowly staggers backward. He recovers quickly, however.."
msg:144,message,12,Herberg,,"De waard rent weg en lijkt bang. Hij pakt echter een
vleesmes en komt nu dreigend op je af. Je ziet kans het
mes uit z'n hand te trappen, maar hij duwt je weg en je
belandt met je rug tegen de harde muur en hij pakt het mes weer.","The innkeeper runs off and seems afraid. He grabs a
meat knife, however, and now comes at you menacingly. You manage to kick the
knife out of his hand, but he shoves you away and you
land with your back against the hard wall and he grabs the knife again."
msg:145,message,any,,,Die is hier niet.,That one isn't here.
msg:146,message,dead,(onbereikbaar — nooit getoond in het spel),,Deze tekst WAS het VOORLOPIGE einde van het adventure..,This text WAS the PROVISIONAL ending of the adventure..
msg:147,message,any,,,Dracula komt langzaam dichterbij.,Dracula slowly comes closer.
msg:148,message,any,,,"Dracula kijkt je aan en begint te lachen. Terwijl hij
dichterbij komt hoor je hem iets mompelen over ontbijt
of iets dergelijks.","Dracula looks at you and begins to laugh. As he
comes closer you hear him mutter something about breakfast
or some such."
msg:149,message,any,,,"Dracula valt je nu aan en slaat zijn mantel dreigend in de
lucht. Zijn scherpe hoektanden zijn nu zichtbaar, je loopt voor-
zichtig achteruit. Dan valt hij aan en probeert in je nek te bijten.
Plotseling verstijft hij en valt neer op de grond. Zijn lichaam wordt
eerst grijs en zwarte rook omgeeft hem. Als de rook optrekt is er niets
meer van zijn lichaam overgebleven.
Je hoort echter in de verte een sinistere lach.","Dracula now attacks and sweeps his cloak menacingly through the
air. His sharp fangs are now visible; you back away
carefully. Then he attacks and tries to bite your neck.
Suddenly he stiffens and falls to the ground. His body first turns
grey and black smoke surrounds him. When the smoke clears nothing
of his body remains.
Far off, however, you hear a sinister laugh."
msg:150,message,any,,,"Dracula ontwijkt met gemak alle aanvallen.
Een vreemde blik in zijn ogen doet je verstijven en
dracula begint te grinniken.","Dracula dodges every attack with ease.
A strange look in his eyes makes you freeze and
dracula begins to snicker."
msg:151,message,any,,,"Als Dracula op je afkomt probeer je weg te rennen.
Hij schijnt echter steeds van plaats te wisselen en staat elke
keer weer voor je. Dan bijt hij en je valt neer... Een vreemd gevoel
overvalt je, herinneringen worden vager...je..je weet van niets meer
en hebt geen controle meer over jezelf. Een andere geest schijnt de
controle over jouw lichaam te hebben overgenomen. Vaag weet je iets
van jouw huidige gewoontes, zoals slapen in een vreemde, houten kist. Je
hebt ergens het gevoel dat je de zon nooit meer ziet. In feite weet je
niet eens meer of je wel leeft.......","As Dracula comes at you, you try to run away.
He seems to keep changing places, however, and each
time stands before you again. Then he bites and you fall down... A strange feeling
comes over you, memories grow fainter...you..you know nothing more
and no longer have any control over yourself. Another spirit seems to have
taken control of your body. Vaguely you're aware of
your present habits, such as sleeping in a strange, wooden chest. Somewhere
you have the feeling you'll never see the sun again. In fact you no longer
even know whether you're alive......."
msg:152,message,any,,,"Dracula valt je direkt aan en bijt je in je nek. Je valt
neer en kan niets meer bewegen. Je ziet hem nog net knielen.
Langzaam bloedt je leeg terwijl dracula lacht (en drinkt). Ik geloof zelfs
dat Dracula geen zin had een opvolger van jou te maken, vermoedelijk
was je slechts z'n lunch.","Dracula attacks you at once and bites your neck. You fall
down and can no longer move. You just catch him kneeling.
Slowly you bleed dry while dracula laughs (and drinks). I even believe
Dracula had no wish to make a successor of you; presumably
you were merely his lunch."
msg:153,message,any,,,AAAAAAAAAAAARGGGHHHH,AAAAAAAAAAAARGGGHHHH
msg:154,message,any,,,Wat  een stuitende taal in dit verblijf..,What appalling language in this establishment..
msg:155,message,any,,,krijg nou snel de vleermuizenziekte.,why don't you go and catch the bat-plague.
msg:156,message,any,,,Stuitend!,Appalling!
msg:157,message,any,,,Zeker christelijke opvoeding gehad ?   Dacht ik al.,"Had a Christian upbringing, no doubt ?   That's what I thought."
msg:158,message,any,,,"Ik weiger verder dit soort beledigingen aan te moeten
horen.","I refuse to listen to any more insults of this
kind."
msg:159,message,14,Zolder (herberg),,Er zit geen deksel op de kist.,There is no lid on the chest.
msg:160,message,any,,,Wat voor kist ?,What kind of chest ?
msg:161,message,20-21,Kasteel (ingang) / Kasteelhal,,De kasteeldeur is met geen mogelijkheid te bewegen.,The castle door cannot be moved by any means.
msg:162,message,"0, 11",Eigen huis / Dorpsstraat,,"Er zit geen slot op de deur en de wind blaast de deur weer open.
",There is no lock on the door and the wind blows the door open again.
msg:163,message,23,Kasteelslaapkamer,,De deur valt met een slag in het slot.,The door slams shut into the lock.
msg:164,message,40,Lange gang (kelder),,"De deur valt dicht, maar draait langzaam weer open.","The door falls shut, but slowly swings open again."
msg:165,message,any,,,Er is geen beweging in te krijgen.,It won't budge at all.
